F_33R,F_34R,F_36R,33a_vp,34a_vp,36a_vp,,,,,
0.009125377,0.058458808,0.000239082,1,1,1,,,,,
Altitude (km),T (K),33a,34a,36a,33R,34R,36R,d33S,d34S,d36S
51,766.5245263,0.986484827,0.973191797,0.947058202,0.009002046,0.056891633,0.000226425,142.7917798,288.231375,475.1583647
52,775.1709204,0.986388725,0.973002475,0.946689446,0.009001169,0.056880565,0.000226337,142.6804507,287.980766,474.5839826
53,783.506923,0.986289886,0.97280778,0.946310301,0.009000267,0.056869184,0.000226246,142.565951,287.7230453,473.9934179
54,790.7811696,0.986175248,0.972581989,0.945870694,0.008999221,0.056855984,0.000226141,142.433149,287.4241614,473.3086762
55,796.4629592,0.986035557,0.972306888,0.94533522,0.008997947,0.056839902,0.000226013,142.2713241,287.0600052,472.474611
56,801.1342588,0.985880713,0.972001992,0.944741929,0.008996534,0.056822078,0.000225871,142.0919458,286.6564086,471.5504875
57,805.9208414,0.985730222,0.971705711,0.94416558,0.00899516,0.056804758,0.000225733,141.9176092,286.2642164,470.6527551
58,811.9476551,0.985603896,0.97145704,0.943681983,0.008994008,0.056790221,0.000225618,141.7712669,285.9350468,469.8994938
59,819.5810914,0.985508199,0.971268685,0.943315766,0.008993134,0.05677921,0.00022553,141.6604077,285.6857178,469.3290656
60,827.5839515,0.985421231,0.971097524,0.94298304,0.008992341,0.056769204,0.000225451,141.5596588,285.4591485,468.8108046
61,834.6909636,0.985320797,0.970899881,0.942598908,0.008991424,0.05675765,0.000225359,141.4433111,285.1975246,468.2124722
62,840.7271657,0.985203865,0.970669798,0.942151826,0.008990357,0.0567442,0.000225252,141.307852,284.8929596,467.5160877
63,845.9350847,0.985074599,0.970415475,0.941657766,0.008989177,0.056729332,0.000225134,141.1581034,284.556308,466.7465296
64,850.5579396,0.984937126,0.970145043,0.941132555,0.008987923,0.056713523,0.000225008,140.9988481,284.1983327,465.9284493
65,854.8275587,0.984795393,0.969866271,0.9405913,0.00898663,0.056697226,0.000224879,140.8346581,283.8293172,465.0853777
66,858.9568172,0.984653065,0.969586369,0.940048006,0.008985331,0.056680864,0.000224749,140.6697787,283.4588057,464.2391322
67,863.156798,0.984513839,0.969312606,0.939516781,0.00898406,0.05666486,0.000224622,140.5084927,283.0964209,463.4116852
68,867.6385838,0.984381473,0.969052368,0.939011939,0.008982852,0.056649647,0.000224501,140.3551534,282.7519384,462.6253319
69,872.5943935,0.984259427,0.968812448,0.938546635,0.008981739,0.056635621,0.00022439,140.2137687,282.4343531,461.9005645
70,877.9009401,0.984145509,0.968588536,0.93811248,0.008980699,0.056622532,0.000224286,140.0818012,282.1379569,461.2243153
71,883.1738476,0.984032816,0.968367056,0.93768314,0.008979671,0.056609584,0.000224184,139.9512521,281.8447798,460.5555649
72,888.0208829,0.983914267,0.968134095,0.937231648,0.008978589,0.056595966,0.000224076,139.8139192,281.5364044,459.8523117
73,892.1561407,0.983784637,0.967879389,0.93673814,0.008977406,0.056581076,0.000223958,139.6637491,281.199246,459.0836123
74,895.6908446,0.983645787,0.967606606,0.93620975,0.008976139,0.056565129,0.000223831,139.5028992,280.8381586,458.2605814
75,898.8289159,0.983501265,0.96732272,0.935660011,0.00897482,0.056548534,0.0002237,139.3354779,280.4623733,457.4042961
76,901.7742759,0.983354674,0.967034812,0.935102649,0.008973483,0.056531703,0.000223567,139.1656598,280.0812645,456.5361373
77,904.7311551,0.9832097,0.966750122,0.934551679,0.00897216,0.05651506,0.000223435,138.9977145,279.7044145,455.6779345
78,907.9305378,0.983070602,0.96647701,0.934023271,0.00897089,0.056499094,0.000223308,138.8365766,279.3428915,454.8548739
79,911.6504383,0.982942585,0.966225689,0.933537154,0.008969722,0.056484402,0.000223192,138.6882753,279.0102133,454.0976885
80,916.1736445,0.982830982,0.966006619,0.933113522,0.008968704,0.056471596,0.000223091,138.5589891,278.720226,453.4378301
81,921.6994537,0.982739537,0.965827137,0.932766518,0.008967869,0.056461104,0.000223008,138.4530556,278.4826432,452.8973282
82,927.6629902,0.98265772,0.965666565,0.932456126,0.008967123,0.056451717,0.000222934,138.3582744,278.2700908,452.4138557
83,933.0999381,0.982567618,0.965489748,0.932114393,0.0089663,0.05644138,0.000222852,138.2538953,278.0360351,451.881565
84,937.5358239,0.98246043,0.965279424,0.931707984,0.008965322,0.056429085,0.000222755,138.129724,277.7576259,451.2485326
85,941.191769,0.982340175,0.965043486,0.931252185,0.008964225,0.056415292,0.000222646,137.9904144,277.4453105,450.5385704
86,944.3412636,0.982211816,0.964791682,0.930765858,0.008963054,0.056400572,0.00022253,137.8417179,277.111993,449.7810575
87,947.2419175,0.982080063,0.964533252,0.930266867,0.008961851,0.056385465,0.00022241,137.6890888,276.769905,449.0038185
88,950.0404376,0.981947606,0.964273477,0.929765413,0.008960643,0.056370278,0.000222291,137.5356442,276.4260357,448.2227421
89,952.8362442,0.981816289,0.964015971,0.929268472,0.008959444,0.056355225,0.000222172,137.3835195,276.0851699,447.4486963
90,955.728582,0.981687982,0.963764402,0.928783119,0.008958273,0.056340518,0.000222056,137.2348833,275.7521646,446.6927001
91,958.816693,0.981564588,0.963522495,0.928316524,0.008957147,0.056326377,0.000221944,137.0919367,275.4319474,445.9659223
92,962.1933908,0.981447903,0.96329377,0.927875464,0.008956083,0.056313006,0.000221839,136.9567633,275.1291798,445.2789168
93,965.9312593,0.981339348,0.963081006,0.927465276,0.008955092,0.056300568,0.000221741,136.8310082,274.8475401,444.6399989
94,970.0989132,0.981240262,0.96288682,0.927090984,0.008954188,0.056289216,0.000221651,136.7162218,274.5904928,444.0569939
95,974.7503841,0.981151685,0.962713246,0.926756486,0.008953379,0.056279069,0.000221571,136.6136099,274.3607304,443.5359731
96,979.645817,0.981069005,0.962551244,0.926444341,0.008952625,0.056269599,0.000221497,136.5178299,274.1462844,443.0497693
97,984.272837,0.980982394,0.962381552,0.926117439,0.008951835,0.056259679,0.000221418,136.4174957,273.921661,442.5405788
98,988.1087674,0.980881827,0.962184535,0.925737967,0.008950917,0.056248161,0.000221328,136.3009934,273.660866,441.9495049
99,990.7719629,0.98075989,0.961945683,0.92527802,0.008949804,0.056234198,0.000221218,136.1597365,273.3446927,441.2330825
100,992.4827337,0.980620593,0.961672859,0.924752798,0.008948533,0.056218249,0.000221092,135.9983678,272.9835515,440.4149846
101,993.6219619,0.980471046,0.961380003,0.924189176,0.008947168,0.056201129,0.000220957,135.825125,272.595893,439.5370754
102,994.5705313,0.980318495,0.961081312,0.923614501,0.008945776,0.056183668,0.00022082,135.6484031,272.2005099,438.6419488
103,995.7093257,0.980170375,0.96079134,0.923056773,0.008944425,0.056166717,0.000220687,135.4768138,271.8166692,437.7732198
104,997.419213,0.980034303,0.960524993,0.922544632,0.008943183,0.056151146,0.000220564,135.3191812,271.4641,436.9754977
105,999.9594968,0.979915601,0.960292675,0.922098042,0.0089421,0.056137565,0.000220457,135.1816709,271.1565774,436.2798789
106,1003.174981,0.979811334,0.960088632,0.921705893,0.008941148,0.056125637,0.000220364,135.0608827,270.8864819,435.6690594
107,1006.822204,0.979716714,0.959903487,0.921350136,0.008940285,0.056114814,0.000220279,134.9512705,270.641402,435.1149251
108,1010.657701,0.979626898,0.959727759,0.921012539,0.008939465,0.056104541,0.000220198,134.8472239,270.408788,434.5890757
109,1014.438918,0.97953704,0.959551963,0.920674871,0.008938645,0.056094264,0.000220117,134.7431271,270.1760831,434.0631173
110,1017.984699,0.979443503,0.959368989,0.920323482,0.008937792,0.056083568,0.000220033,134.63477,269.933877,433.5157869
111,1021.213299,0.979344627,0.959175588,0.919952144,0.008936889,0.056072262,0.000219944,134.5202272,269.6778692,432.9373815
112,1024.052042,0.979238913,0.958968834,0.919555248,0.008935925,0.056060175,0.000219849,134.3977628,269.4041849,432.3191682
113,1026.454239,0.979125359,0.958746772,0.919129062,0.008934888,0.056047194,0.000219748,134.2662164,269.110237,431.655331
114,1028.58875,0.979007288,0.958515903,0.918686079,0.008933811,0.056033697,0.000219642,134.1294374,268.8046324,430.9653321
115,1030.731053,0.978890221,0.958287024,0.918247019,0.008932743,0.056020317,0.000219537,133.9938207,268.5016611,430.2814432
116,1033.157385,0.978779766,0.9580711,0.917832907,0.008931735,0.056007695,0.000219438,133.8658651,268.2158382,429.6364127
117,1036.14398,0.978681591,0.957879199,0.917464947,0.008930839,0.055996477,0.00021935,133.7521337,267.9618157,429.0632701
118,1039.835052,0.978598679,0.957717149,0.917154281,0.008930082,0.055987003,0.000219275,133.6560845,267.7473067,428.57937
119,1043.886781,0.978524037,0.957571274,0.916874671,0.008929401,0.055978476,0.000219209,133.5696162,267.5542103,428.1438438
120,1047.842604,0.97844836,0.957423388,0.916591248,0.008928711,0.05596983,0.000219141,133.4819482,267.3584501,427.7023771
121,1051.257928,0.978362591,0.957255793,0.916270106,0.008927928,0.055960033,0.000219064,133.3825889,267.1366015,427.20216
122,1053.998981,0.978263969,0.957063102,0.915900946,0.008927028,0.055948768,0.000218976,133.2683407,266.8815333,426.6271489
123,1056.263949,0.978156464,0.956853076,0.91549866,0.008926047,0.055936491,0.00021888,133.1438012,266.6035179,426.0005388
124,1058.267218,0.978044388,0.956634146,0.915079413,0.008925024,0.055923692,0.000218779,133.0139673,266.3137162,425.3475108
125,1060.223172,0.9779321,0.956414825,0.914659514,0.008923999,0.055910871,0.000218679,132.8838869,266.0233974,424.6934677
126,1062.346198,0.97782401,0.956203729,0.914255454,0.008923013,0.055898531,0.000218582,132.7586707,265.7439662,424.0640944
127,1064.83933,0.977724344,0.956009104,0.913882999,0.008922104,0.055887153,0.000218493,132.6432122,265.4863373,423.4839507
128,1067.698505,0.977633057,0.955830861,0.913541961,0.008921271,0.055876733,0.000218412,132.5374617,265.2503937,422.9527427
129,1070.738718,0.97754634,0.955661554,0.91321808,0.008920479,0.055866836,0.000218334,132.4370039,265.0262788,422.4482583
130,1073.768881,0.977460229,0.955493446,0.912896551,0.008919693,0.055857008,0.000218257,132.3372491,264.8037521,421.9474373
131,1076.597903,0.977370747,0.955318773,0.912562522,0.008918877,0.055846797,0.000218178,132.2335886,264.5725334,421.4271475
132,1079.061187,0.977274443,0.955130802,0.912203134,0.008917998,0.055835808,0.000218092,132.1220262,264.3237128,420.8673563
133,1081.181099,0.977171736,0.954930351,0.911819964,0.008917061,0.05582409,0.000218,132.003045,264.058373,420.270522
134,1083.060467,0.977064719,0.954721511,0.911420842,0.008916084,0.055811882,0.000217905,131.8790708,263.7819275,419.6488411
135,1084.802433,0.976955509,0.954508416,0.911013678,0.008915088,0.055799425,0.000217807,131.7525567,263.4998498,419.0146346
136,1086.510139,0.976846248,0.954295246,0.910606463,0.008914091,0.055786963,0.00021771,131.6259839,263.2176726,418.3803463
137,1088.286726,0.976739105,0.95408623,0.910207271,0.008913113,0.055774744,0.000217615,131.5018641,262.9409946,417.7585571
138,1090.22123,0.976635974,0.953885062,0.909823151,0.008912172,0.055762984,0.000217523,131.3823919,262.6747051,417.1602432
139,1092.324107,0.976537098,0.953692214,0.909454994,0.00891127,0.05575171,0.000217435,131.2678492,262.4194293,416.5867942
140,1094.57862,0.97644214,0.953507028,0.909101533,0.008910403,0.055740885,0.00021735,131.1578459,262.1742945,416.0362351
141,1096.968005,0.976350758,0.95332883,0.908761475,0.008909569,0.055730467,0.000217269,131.0519839,261.9384107,415.5065544
142,1099.475499,0.976262601,0.953156939,0.908433513,0.008908765,0.055720419,0.00021719,130.949859,261.710875,414.9957133
143,1102.084337,0.976177317,0.952990663,0.908116323,0.008907986,0.055710699,0.000217115,130.851062,261.4907733,414.5016503
144,1104.773314,0.976094455,0.952829122,0.907808216,0.00890723,0.055701255,0.000217041,130.7550698,261.2769387,414.0217375
145,1107.501623,0.976013139,0.952670611,0.907505939,0.008906488,0.055691989,0.000216969,130.66087,261.0671142,413.5509041
146,1110.223053,0.975932377,0.952513192,0.907205796,0.008905751,0.055682786,0.000216897,130.5673117,260.858736,413.0833937
147,1112.891395,0.975851173,0.952354923,0.906904081,0.00890501,0.055673534,0.000216825,130.4732402,260.6492322,412.613436
148,1115.460439,0.975768524,0.952193854,0.90659708,0.008904256,0.055664118,0.000216751,130.3774967,260.4360223,412.1352451
149,1117.883973,0.975683428,0.952028027,0.906281065,0.00890348,0.055654424,0.000216676,130.2789165,260.2165144,411.6430136
150,1120.115789,0.975594871,0.951855473,0.905952288,0.008902671,0.055644337,0.000216597,130.1763278,259.9881012,411.1309035
151,1122.124785,0.975502159,0.951674838,0.90560818,0.008901825,0.055633777,0.000216515,130.0689255,259.7489925,410.5949136
152,1123.972158,0.975406581,0.95148864,0.905253541,0.008900953,0.055622892,0.00021643,129.9582042,259.5025185,410.0425203
153,1125.753943,0.975310192,0.951300879,0.904895996,0.008900074,0.055611916,0.000216345,129.8465426,259.2539758,409.4856
154,1127.566242,0.975215065,0.951115593,0.904543233,0.008899206,0.055601084,0.00021626,129.7363421,259.0087091,408.9361284
155,1129.505153,0.975123289,0.950936852,0.904202997,0.008898368,0.055590635,0.000216179,129.6300246,258.7721072,408.4061703
156,1131.666778,0.97503697,0.950768756,0.903883081,0.00889758,0.055580808,0.000216103,129.5300291,258.549595,407.9078622
157,1134.120178,0.974957633,0.950614267,0.903589112,0.008896856,0.055571777,0.000216032,129.4381205,258.345095,407.4499696
