fraction remaining,fraction lost,time (Myr),log10mantle ST,34R,d34 mantle,34R space,d34 space,34R space total,d34 space total,33R,d33 mantle,33R space,d33 space,33R space total,d33 space total,36R,d36 mantle,36R space,d36 space,36R space total,d36 space total,D33 mantle,D33S space,D33S total space,D36 mantle,D36 space,D36 total space,log10space,32TS_M,33TS_M,34TS_M,36TS_M,32S_M,33S_M,34S_M,36S_M,32S_S,33S_S,34S_S,36S_S,D33S M [alt],D33S S [alt],D36S M [alt],D36S S [alt],mbST,mb32S,mb33S,mb34S,mb36S
0.9,0.1,470.1646091,21.68749895,0.044551324,8.802359836,0.040808038,-75.95910659,0.040678134,-78.9005952,0.007913626,4.619008776,0.007563835,-39.78631314,0.007551101,-41.40282248,0.000155972,16.15537365,0.000132025,-139.8577502,0.000131265,-144.8098715,0.095428004,0.081644605,0.040386482,-0.635337365,-0.481374755,-0.235688316,20.73325644,0.950009618,0.007518021,0.042324186,0.000148175,4.63E+21,3.66E+19,2.06E+20,7.22E+17,5.16E+20,3.90E+18,2.10E+19,6.77E+16,0.085793461,-0.769015953,-0.56911004,5.101259406,-1.94E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.89,0.11,517.18107,21.68264645,0.044592749,9.740367094,0.040845563,-75.10941088,0.040696375,-78.48756207,0.007917495,5.110096209,0.007567491,-39.32212023,0.00755288,-41.17698949,0.000156237,17.88385668,0.000132247,-138.4108267,0.000131373,-144.107537,0.105599042,0.091254069,0.044881341,-0.703932445,-0.538696945,-0.262310908,20.77464912,0.949968503,0.00752137,0.042361707,0.00014842,4.57E+21,3.62E+19,2.04E+20,7.15E+17,5.68E+20,4.29E+18,2.31E+19,7.46E+16,0.093807156,-0.755895021,-0.6228408,5.018830959,-3.88E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.88,0.12,564.1975309,21.67773911,0.044634681,10.68986055,0.040883542,-74.24942669,0.040714761,-78.07123298,0.007921409,5.606976913,0.00757119,-38.85251252,0.007554673,-40.94942107,0.000156506,19.6348612,0.000132472,-136.9452612,0.000131481,-143.3992348,0.115894995,0.100980235,0.049394052,-0.77354265,-0.596858107,-0.289080489,20.81243769,0.949926888,0.007524759,0.042399684,0.000148669,4.52E+21,3.58E+19,2.02E+20,7.08E+17,6.19E+20,4.68E+18,2.52E+19,8.14E+16,0.10169873,-0.742736088,-0.675873846,4.936107842,-3.88E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.87,0.13,611.2139918,21.67277569,0.044677132,11.6511138,0.040921986,-73.37891171,0.040733296,-77.65155001,0.007925369,6.109786239,0.007574933,-38.37736493,0.007556479,-40.72008734,0.000156778,21.40894164,0.0001327,-135.4605999,0.000131591,-142.6848566,0.126318842,0.110825853,0.053924627,-0.844194586,-0.655879986,-0.315998036,20.84719979,0.949884764,0.007528188,0.042438127,0.000148921,4.47E+21,3.54E+19,2.00E+20,7.01E+17,6.71E+20,5.07E+18,2.73E+19,8.83E+16,0.109462629,-0.72953908,-0.728174592,4.85308844,-3.88E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.86,0.14,658.2304527,21.66775489,0.044720116,12.62441021,0.040960907,-72.49761511,0.040751981,-77.22845364,0.007929378,6.618664302,0.007578721,-37.89654803,0.0075583,-40.48895755,0.000157054,23.20667264,0.000132931,-133.9563728,0.000131702,-141.9642908,0.136873665,0.12079377,0.058473068,-0.915915873,-0.715785139,-0.343064512,20.87938448,0.949842117,0.007531657,0.042477049,0.000149176,4.42E+21,3.50E+19,1.98E+20,6.94E+17,7.23E+20,5.46E+18,2.94E+19,9.52E+16,0.117093043,-0.71630393,-0.779706766,4.769771164,-3.88E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.85,0.15,705.2469136,21.66267537,0.044763644,13.61004335,0.041000315,-71.6052771,0.040770819,-76.80188264,0.007933435,7.133756209,0.007582554,-37.40992783,0.007560135,-40.25600014,0.000157334,25.02865006,0.000133165,-132.4320925,0.000131813,-141.2374226,0.14756266,0.130886934,0.063039371,-0.988735189,-0.776596985,-0.370280858,20.9093477,0.949798935,0.007535168,0.042516461,0.000149435,4.37E+21,3.47E+19,1.96E+20,6.87E+17,7.74E+20,5.85E+18,3.16E+19,1.02E+17,0.124583882,-0.703030581,-0.830432316,4.686154454,-3.88E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.84,0.16,752.2633745,21.65753573,0.04480773,14.60831753,0.041040222,-70.70162853,0.040789814,-76.37177402,0.007937543,7.655212293,0.007586434,-36.91736558,0.007561985,-40.02118261,0.000157617,26.87549199,0.000133402,-130.8872539,0.000131926,-140.5041339,0.158389139,0.141108402,0.067623526,-1.062682329,-0.83833984,-0.397647998,20.93737642,0.949755205,0.007538723,0.042556375,0.000149698,4.32E+21,3.43E+19,1.93E+20,6.80E+17,8.26E+20,6.24E+18,3.37E+19,1.09E+17,0.131928767,-0.689718987,-0.880311307,4.60223678,-5.81E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.83,0.17,799.2798354,21.65233453,0.044852389,15.61954827,0.041080641,-69.78639039,0.040808968,-75.93806296,0.007941702,8.183188369,0.007590362,-36.41871752,0.007563849,-39.78447154,0.000157905,28.74783991,0.000133642,-129.3213329,0.000132039,-139.764303,0.169356535,0.151461341,0.07222551,-1.137788262,-0.901038968,-0.425166826,20.96370536,0.949710912,0.007542321,0.042596803,0.000149964,4.27E+21,3.39E+19,1.91E+20,6.73E+17,8.77E+20,6.64E+18,3.58E+19,1.16E+17,0.13912101,-0.676369113,-0.929301807,4.518016648,-5.81E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.82,0.18,846.2962963,21.64707029,0.044897634,16.64406292,0.041121585,-68.85927341,0.040828283,-75.50068273,0.007945914,8.717846002,0.007594339,-35.91383464,0.007565729,-39.54583254,0.000158196,30.64635978,0.000133886,-127.7337857,0.000132154,-139.0178046,0.180468412,0.161949033,0.076845293,-1.214085188,-0.964720625,-0.452838214,20.98852894,0.949666044,0.007545964,0.042637758,0.000150233,4.21E+21,3.35E+19,1.89E+20,6.67E+17,9.29E+20,7.03E+18,3.79E+19,1.23E+17,0.146153598,-0.662980936,-0.977359769,4.433492602,-3.88E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.81,0.19,893.3127572,21.64174146,0.044943481,17.68220121,0.041163067,-67.91997747,0.040847764,-75.05956461,0.007950179,9.259352795,0.007598367,-35.40256245,0.007567624,-39.30523022,0.000158491,32.57174339,0.000134133,-126.1240474,0.000132269,-138.2645095,0.191728467,0.172574887,0.081482835,-1.291606609,-1.029412116,-0.480663002,21.01201004,0.949620585,0.007549654,0.042679254,0.000150507,4.16E+21,3.31E+19,1.87E+20,6.60E+17,9.80E+20,7.42E+18,4.00E+19,1.30E+17,0.153019172,-0.649554446,-1.024438906,4.348663233,-3.88E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.8,0.2,940.3292181,21.63634643,0.044989945,18.73431588,0.0412051,-66.96819111,0.040867413,-74.61463784,0.0079545,9.807882687,0.007602446,-34.88474067,0.007569535,-39.06262813,0.000158791,34.52470962,0.000134383,-124.4915317,0.000132386,-137.5042847,0.203140538,0.183342437,0.086138083,-1.370387391,-1.095141845,-0.508641996,21.03428644,0.94957452,0.007553391,0.042721305,0.000150784,4.11E+21,3.27E+19,1.85E+20,6.53E+17,1.03E+21,7.81E+18,4.22E+19,1.37E+17,0.159710007,-0.636089646,-1.070490553,4.263527176,-5.81E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.79,0.21,987.345679,21.63088353,0.045037042,19.80077338,0.0412477,-66.00359091,0.040887234,-74.16582947,0.007958878,10.36361628,0.007606577,-34.36020298,0.007571462,-38.81798873,0.000159095,36.5060059,0.000134638,-122.8356288,0.000132504,-136.7369929,0.214708614,0.194255354,0.090810974,-1.450463844,-1.161939375,-0.536775965,21.05547573,0.949527833,0.007557176,0.042763925,0.000151065,4.06E+21,3.23E+19,1.83E+20,6.46E+17,1.08E+21,8.20E+18,4.43E+19,1.44E+17,0.166217993,-0.622586556,-1.115463518,4.178083123,-1.94E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
