H,T
351,1459.395551
352,1461.398957
353,1463.297149
354,1465.008384
355,1466.477998
356,1467.743534
357,1468.86215
358,1469.891003
359,1470.887251
360,1471.90803
361,1472.99626
362,1474.155903
363,1475.38431
364,1476.67883
365,1478.036812
366,1479.455607
367,1480.932564
368,1482.460013
369,1484.011203
370,1485.554853
371,1487.059682
372,1488.494408
373,1489.827751
374,1491.028429
375,1492.065159
376,1492.912187
377,1493.596704
378,1494.175371
379,1494.705165
380,1495.243067
381,1495.846053
382,1496.571102
383,1497.471662
384,1498.550153
385,1499.770614
386,1501.09615
387,1502.489865
388,1503.914862
389,1505.334246
390,1506.711734
391,1508.025314
392,1509.267309
393,1510.430674
394,1511.508363
395,1512.49333
396,1513.379729
397,1514.181813
398,1514.930484
399,1515.657145
400,1516.393199
401,1517.170049
402,1518.019099
403,1518.971751
404,1520.059181
405,1521.290611
406,1522.635406
407,1524.058715
408,1525.52569
409,1527.001482
410,1528.451239
411,1529.840113
412,1531.133254
413,1532.304977
414,1533.368627
415,1534.347943
416,1535.266659
417,1536.148514
418,1537.017244
419,1537.896586
420,1538.806837
421,1539.747721
422,1540.711352
423,1541.689832
424,1542.675262
425,1543.659742
426,1544.635374
427,1545.595392
428,1546.542709
429,1547.485146
430,1548.430562
431,1549.386814
432,1550.361763
433,1551.363267
434,1552.398955
435,1553.473557
436,1554.589813
437,1555.750426
438,1556.958097
439,1558.215528
440,1559.52377
441,1560.867842
442,1562.223754
443,1563.567416
444,1564.874739
445,1566.121634
446,1567.28401
447,1568.339488
448,1569.29054
449,1570.158415
450,1570.964824
451,1571.731477
452,1572.480083
453,1573.232355
454,1574.010003
455,1574.834575
456,1575.716056
457,1576.645332
458,1577.611502
459,1578.603664
460,1579.610917
461,1580.622359
462,1581.627106
463,1582.617943
464,1583.595886
465,1584.563072
466,1585.521639
467,1586.473725
468,1587.421467
469,1588.367003
470,1589.312517
471,1590.260332
472,1591.212798
473,1592.172267
474,1593.14109
475,1594.121617
476,1595.116199
477,1596.125044
478,1597.139107
479,1598.146848
480,1599.136726
481,1600.097199
482,1601.016727
483,1601.883768
484,1602.690546
485,1603.452104
486,1604.192045
487,1604.933983
488,1605.701537
489,1606.518321
490,1607.407952
491,1608.394045
492,1609.497827
493,1610.699319
494,1611.943806
495,1613.175485
496,1614.338553
497,1615.377208
498,1616.240492
499,1616.93973
500,1617.529454
501,1618.065069
502,1618.601976
503,1619.19558
504,1619.901282
505,1620.771931
506,1621.808372
507,1622.962949
508,1624.18615
509,1625.428463
510,1626.640377
511,1627.772381
512,1628.774963
513,1629.598868
514,1630.23298
515,1630.744417
516,1631.209895
517,1631.706131
518,1632.30984
519,1633.097739
520,1634.146486
521,1635.484073
522,1637.001063
523,1638.563937
524,1640.039176
525,1641.295145
526,1642.284314
527,1643.075143
528,1643.744565
529,1644.36951
530,1645.02691
531,1645.791897
532,1646.686787
533,1647.673771
534,1648.711771
535,1649.759714
536,1650.776524
537,1651.721126
538,1652.552893
539,1653.257123
540,1653.858727
541,1654.385958
542,1654.867071
543,1655.330319
544,1655.803954
545,1656.316232
546,1656.895405
547,1657.561462
548,1658.305085
549,1659.110464
550,1659.961787
551,1660.843244
552,1661.739024
553,1662.633316
554,1663.510308
555,1664.355599
556,1665.167335
557,1665.950259
558,1666.709169
559,1667.448866
560,1668.174149
561,1668.888922
562,1669.59079
563,1670.274658
564,1670.935422
565,1671.567976
566,1672.167216
567,1672.728035
568,1673.246698
569,1673.733445
570,1674.206692
571,1674.684959
572,1675.186764
573,1675.730628
574,1676.33507
575,1677.018609
576,1677.799281
577,1678.676835
578,1679.627555
579,1680.626184
580,1681.647466
581,1682.666145
582,1683.656965
583,1684.594817
584,1685.466651
585,1686.28025
586,1687.045466
587,1687.77215
588,1688.470155
589,1689.149263
590,1689.815935
591,1690.471912
592,1691.118576
593,1691.757309
594,1692.389492
595,1693.016508
596,1693.639743
597,1694.261324
598,1694.884794
599,1695.513859
600,1696.152225
601,1696.803595
602,1697.471677
603,1698.160173
604,1698.872107
605,1699.608699
606,1700.37088
607,1701.159576
608,1701.975716
609,1702.82023
610,1703.694044
611,1704.598087
612,1705.533289
613,1706.500576
614,1707.500878
